rank,feature,score
1,agg_financial_max,0.03391377423078934
2,ratio_financial_Investing_Cash_Flow_div_financial_Tax_Provision,0.031713726957931954
3,interact_financial_Investing_Cash_Flowxanalyst_lm_net_sentiment,0.027201473894172157
4,interact_financial_Dividend_Paidxmgmt_sentiment_neutral,0.026481139635653683
5,interact_financial_Financing_Cash_Flowxlm_uncertainty,0.02625345929835632
6,interact_financial_Financing_Cash_Flowxmgmt_sentiment_neutral,0.02398461461638801
7,ratio_financial_ROE_div_financial_Inventories,0.023970728153468013
8,interact_financial_Operating_Expensexanalyst_lm_net_sentiment,0.02374900571234928
9,interact_financial_Operating_Expensexlm_uncertainty,0.02114803014730038
10,ratio_mgmt_sentiment_positive_div_mgmt_sentiment_neutral,0.019588191861320325
11,ratio_mgmt_sentiment_neutral_div_analyst_sentiment_positive,0.019310601241955272
12,ratio_analyst_sentiment_positive_div_sentiment_score,0.017447351782611698
13,ratio_financial_ROE_div_financial_Cash_And_Equivalents,0.01737040241552279
14,interact_financial_ROExmgmt_sentiment_neutral,0.01611603085239466
15,interact_financial_Tax_Provisionxlm_uncertainty,0.013980959055851283
16,interact_financial_Inventoriesxmgmt_sentiment_neutral,0.013980267653567857
17,agg_financial_min,0.013706670530663878
18,ratio_analyst_lm_net_sentiment_div_lm_uncertainty,0.012940382721689403
19,interact_financial_Tax_Provisionxanalyst_lm_net_sentiment,0.012662702137510973
20,poly_financial_Operating_Expense_sq,0.012252704800101988
